"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
163.10000,0.00000,,,"Itinerant (Analog)","Fed 163.1000 A",,,FMN,BM,Federal
163.10000,0.00000,,,"Itinerant (Digital)","Fed 163.1000 D",,,P25,BM,Federal
163.40000,0.00000,,,"Common (Digital)","Fed 163.4000 D",,,P25,BM,Federal
163.40000,0.00000,,,"Common (Analog)","Fed 163.4000 A",,,FMN,BM,Federal
163.60000,0.00000,,,"Common (Analog)","Fed 163.6000 A",,,FMN,BM,Federal
163.60000,0.00000,,,"Common (Digital)","Fed 163.6000 D",,,P25,BM,Federal
163.80000,0.00000,,,"Common (Analog)","Fed 163.8000 A",,,FMN,BM,Federal
163.80000,0.00000,,,"Common (Digital)","Fed 163.8000 D",,,P25,BM,Federal
163.81250,0.00000,,,"Common (Analog)","Fed 163.8125 A",,,FMN,BM,Federal
163.81250,0.00000,,,"Common (Digital)","Fed 163.8125 D",,,P25,BM,Federal
164.00000,0.00000,,,"Common (Analog)","Fed 164.0000 A",,,FMN,BM,Federal
164.00000,0.00000,,,"Common (Digital)","Fed 164.0000 D",,,P25,BM,Federal
164.01250,0.00000,,,"Common (Digital)","Fed 164.0125 D",,,P25,BM,Federal
164.01250,0.00000,,,"Common (Analog)","Fed 164.0125 A",,,FMN,BM,Federal
164.85000,0.00000,,,"Common (Digital)","Fed 164.8500 D",,,P25,BM,Federal
164.85000,0.00000,,,"Common (Analog)","Fed 164.8500 A",,,FMN,BM,Federal
165.80000,0.00000,,,"Common (Digital)","Fed 165.8000 D",,,P25,BM,Federal
165.80000,0.00000,,,"Common (Analog)","Fed 165.8000 A",,,FMN,BM,Federal
165.81250,0.00000,,,"Common (Digital)","Fed 165.8125 D",,,P25,BM,Federal
165.81250,0.00000,,,"Common (Analog)","Fed 165.8125 A",,,FMN,BM,Federal
166.42500,0.00000,,,"Common (Digital)","Fed 166.4250 D",,,P25,BM,Federal
166.42500,0.00000,,,"Common (Analog)","Fed 166.4250 A",,,FMN,BM,Federal
166.46250,0.00000,,,"Federal Law Enforcement Common","Fed LE Common",,,FMN,M,Federal
166.65000,0.00000,,,"Common (Digital)","Fed 166.6500 D",,,P25,BM,Federal
166.65000,0.00000,,,"Common (Analog)","Fed 166.6500 A",,,FMN,BM,Federal
166.66250,0.00000,,,"Common (Analog)","Fed 166.6625 A",,,FMN,BM,Federal
166.66250,0.00000,,,"Common (Digital)","Fed 166.6625 D",,,P25,BM,Federal
167.20000,0.00000,,,"Common (Digital)","Fed 167.2000 D",,,P25,BM,Federal
167.20000,0.00000,,,"Common (Analog)","Fed 167.2000 A",,,FMN,BM,Federal
167.80000,0.00000,,,"Common (Analog)","Fed 167.8000 A",,,FMN,BM,Federal
167.80000,0.00000,,,"Common (Digital)","Fed 167.8000 D",,,P25,BM,Federal
167.81250,0.00000,,,"Common (Digital)","Fed 167.8125 D",,,P25,BM,Federal
167.81250,0.00000,,,"Common (Analog)","Fed 167.8125 A",,,FMN,BM,Federal
168.35000,0.00000,,,"Itinerant (Analog)","Fed 168.3500 A",,,FMN,BM,Federal
168.35000,0.00000,,,"Itinerant (Digital)","Fed 168.3500 D",,,P25,BM,Federal
171.22500,0.00000,,,"Common (Analog)","Fed 171.2250 A",,,FMN,BM,Federal
171.22500,0.00000,,,"Common (Digital)","Fed 171.2250 D",,,P25,BM,Federal
171.40000,0.00000,,,"Common (Digital)","Fed 171.4000 D",,,P25,BM,Federal
171.40000,0.00000,,,"Common (Analog)","Fed 171.4000 A",,,FMN,BM,Federal
171.41250,0.00000,,,"Common (Digital)","Fed 171.4125 D",,,P25,BM,Federal
171.41250,0.00000,,,"Common (Analog)","Fed 171.4125 A",,,FMN,BM,Federal
408.40000,0.00000,,,"Itinerant (Digital)","Fed 408.4000 D",,,P25,BM,Federal
408.40000,0.00000,,,"Itinerant (Analog)","Fed 408.4000 A",,,FMN,BM,Federal
409.05000,418.05000,,,"Itinerant (Digital)","Fed 409.0500 D",,,P25,RM,Federal
409.05000,418.05000,,,"Itinerant (Analog)","Fed 409.0500 A",,,FMN,RM,Federal
409.33750,418.33750,,,"Itinerant (Digital)","Fed 409.3375 D",,,P25,RM,Federal
409.33750,418.33750,,,"Itinerant (Analog)","Fed 409.3375 A",,,FMN,RM,Federal
412.82500,0.00000,,,"Itinerant (Digital)","Fed 412.8250 D",,,P25,BM,Federal
412.82500,0.00000,,,"Itinerant (Analog)","Fed 412.8250 A",,,FMN,BM,Federal
412.83750,0.00000,,,"Itinerant (Analog)","Fed 412.8375 A",,,FMN,BM,Federal
412.83750,0.00000,,,"Itinerant (Digital)","Fed 412.8375 D",,,P25,BM,Federal
412.85000,0.00000,,,"Itinerant (Analog)","Fed 412.8500 A",,,FMN,BM,Federal
412.85000,0.00000,,,"Itinerant (Digital)","Fed 412.8500 D",,,P25,BM,Federal
412.86250,0.00000,,,"Itinerant (Analog)","Fed 412.8625 A",,,FMN,BM,Federal
412.86250,0.00000,,,"Itinerant (Digital)","Fed 412.8625 D",,,P25,BM,Federal
418.05000,0.00000,,,"Itinerant (Digital)","Fed 418.0500 D",,,P25,BM,Federal
418.05000,0.00000,,,"Itinerant (Analog)","Fed 418.0500 A",,,FMN,BM,Federal
418.33750,0.00000,,,"Itinerant (Digital)","Fed 418.3375 D",,,P25,BM,Federal
418.33750,0.00000,,,"Itinerant (Analog)","Fed 418.3375 A",,,FMN,BM,Federal
